,yearID,playerID,salary,ADJ Salary,GS,InnOuts,PO,A,E,DP,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
21,1985,ripkeca01,800000,1924245.353,161,4282,286,474,26,123,BAL,AL,161,642,116,181,32,5,26,110,2,3,67,68,1,1,0,8,32
22,1985,roeniga01,558333,1342962.101,53,1541,134,6,1,0,BAL,AL,114,225,36,49,9,0,15,43,2,2,44,36,1,0,2,3,5
23,1985,sheetla01,60000,144318.4015,7,165,12,1,1,1,BAL,AL,113,328,43,86,8,0,17,50,0,1,28,52,2,2,1,1,15
24,1985,shelbjo01,130000,312689.8699,43,1265,148,4,3,0,BAL,AL,69,205,28,58,6,2,7,27,5,1,7,44,0,0,2,0,4
25,1985,youngmi01,121000,291042.1097,83,2239,190,6,5,0,BAL,AL,139,450,72,123,22,1,28,81,1,5,48,104,5,4,1,1,9
26,1985,armasto01,915000,2200855.623,79,1962,173,3,3,1,BOS,AL,103,385,50,102,17,5,23,64,0,0,18,90,4,2,0,5,14
27,1985,barrema02,272500,655446.0734,150,4007,355,479,11,110,BOS,AL,156,534,59,142,26,0,5,56,7,5,56,50,3,2,12,4,14
28,1985,boggswa01,1000000,2405306.691,160,4252,134,335,17,30,BOS,AL,161,653,107,240,42,3,8,78,2,1,96,61,5,4,3,2,20
29,1985,bucknbi01,747500,1797966.752,162,4321,1384,184,12,140,BOS,AL,162,673,89,201,46,3,16,110,18,4,30,36,5,2,2,11,16
30,1985,easlemi01,650000,1563449.349,20,454,32,0,3,0,BOS,AL,155,568,71,149,29,4,16,74,0,1,53,129,1,3,0,7,15
31,1985,evansdw01,800000,1924245.353,152,4021,291,9,3,1,BOS,AL,159,617,110,162,29,1,29,78,7,2,114,105,4,5,1,7,16
32,1985,gedmari01,477500,1148533.945,129,3468,768,78,15,13,BOS,AL,144,498,66,147,30,5,18,80,2,0,50,79,11,3,3,2,12
33,1985,gutieja01,130000,312689.8699,83,2227,143,238,23,47,BOS,AL,103,275,33,60,5,2,2,21,10,2,12,37,0,0,9,1,9
34,1985,hoffmgl01,335000,805777.7416,82,2199,157,232,11,61,BOS,AL,96,279,40,77,17,2,6,34,2,2,25,40,0,5,9,3,6
35,1985,juraked01,125000,300663.3364,2,102,5,10,2,0,BOS,AL,26,13,4,3,0,0,0,0,0,0,1,3,0,0,0,0,1
36,1985,milleri01,275000,661459.3401,2,90,9,0,0,0,BOS,AL,41,45,5,15,2,0,0,9,1,0,5,6,0,0,0,1,1
37,1985,nichore01,260000,625379.7398,36,1020,85,2,1,1,BOS,AL,21,32,3,6,1,0,1,3,1,0,2,4,0,1,1,1,1
38,1985,nichore01,260000,625379.7398,36,1020,85,2,1,1,CHA,AL,51,118,20,35,7,1,1,15,5,5,15,13,1,0,2,1,1
39,1985,riceji01,779227,1874279.917,130,3401,236,8,9,1,BOS,AL,140,546,85,159,20,3,27,103,2,0,51,75,5,2,0,9,35
40,1985,staplda01,325000,781724.6747,13,392,41,36,1,11,BOS,AL,30,66,4,15,6,0,0,2,0,0,4,11,0,0,1,0,1
41,1985,beniqju01,365000,877936.9424,92,2469,439,26,4,42,CAL,AL,132,411,54,125,13,5,8,42,4,3,34,46,3,5,9,1,16
42,1985,boonebo01,883000,2123885.809,137,3646,670,71,10,15,CAL,AL,150,460,37,114,17,0,5,55,1,2,37,35,2,3,16,4,12
43,1985,carewro01,875000,2104643.355,109,2967,1055,65,7,121,CAL,AL,127,443,69,124,17,3,2,39,5,5,64,47,9,1,9,1,8
44,1985,decindo01,1100000,2645837.361,111,2877,95,202,13,27,CAL,AL,120,427,50,104,22,1,20,78,1,4,47,71,11,2,5,7,17
45,1985,downibr01,808333,1944288.774,118,3046,244,5,2,0,CAL,AL,150,520,80,137,23,1,20,85,5,3,78,61,3,13,5,4,12
46,1985,grichbo01,700000,1683714.684,131,3507,331,408,3,115,CAL,AL,144,479,74,116,17,3,13,53,3,5,81,77,3,3,8,0,18
47,1985,hendrge01,737000,1772711.032,76,1983,151,3,4,0,PIT,NL,69,256,23,59,15,0,2,25,1,0,18,42,1,0,0,3,11
48,1985,hendrge01,737000,1772711.032,76,1983,151,3,4,0,CAL,AL,16,41,5,5,1,0,2,6,0,0,4,8,1,0,0,1,4
49,1985,jacksre01,1058894,2546964.824,81,1873,112,6,7,1,CAL,AL,143,460,64,116,27,0,27,85,1,2,78,138,12,1,0,2,16
50,1985,jonesru01,390000,938069.6097,65,1805,179,12,1,5,CAL,AL,125,389,66,90,17,2,21,67,7,4,57,82,2,0,8,2,5
51,1985,pettiga01,125000,300663.3364,118,3164,368,13,4,5,CAL,AL,125,443,67,114,10,8,1,32,56,9,62,125,0,0,9,2,5
52,1985,schofdi02,120000,288636.803,132,3565,261,397,25,108,CAL,AL,147,438,50,96,19,3,8,41,11,4,35,70,0,8,12,3,8
53,1985,sconida01,130000,312689.8699,4,111,35,1,1,2,CAL,AL,44,98,14,28,6,1,2,12,2,1,15,18,0,0,0,3,2
54,1985,wilforo01,266667,641415.9195,53,1509,124,216,5,45,CAL,AL,83,217,16,41,3,0,4,13,4,1,16,32,1,0,8,2,0
55,1985,baineha01,675000,1623582.017,158,4193,318,8,2,2,CHA,AL,160,640,86,198,29,3,22,113,1,1,42,89,8,1,0,10,23
56,1985,cruzju01,1242333,2988191.878,74,1942,158,220,7,59,CHA,AL,91,234,28,46,2,3,0,15,8,5,32,40,0,2,1,1,6
57,1985,fiskca01,685000,1647635.084,120,3205,801,60,10,13,CHA,AL,153,543,85,129,23,1,37,107,17,9,52,81,12,17,2,6,9
58,1985,fletcsc01,165000,396875.6041,86,2252,123,208,8,36,CHA,AL,119,301,38,77,8,1,2,31,5,5,35,47,0,0,11,1,9
59,1985,guilloz01,60000,144318.4015,131,3608,220,382,12,80,CHA,AL,150,491,71,134,21,9,1,33,7,4,12,36,1,1,8,1,5
60,1985,hairsje01,150000,360796.0037,2,74,5,0,0,0,CHA,AL,95,140,9,34,8,0,2,20,0,0,29,18,3,2,0,4,3
61,1985,hillma01,200000,481061.3383,28,769,185,13,3,1,CHA,AL,40,75,5,10,2,0,0,4,0,0,12,9,0,0,8,0,2
62,1985,kittlro01,300000,721592.0074,55,1256,88,2,1,1,CHA,AL,116,379,51,87,12,0,26,58,1,4,31,92,1,5,0,2,12
63,1985,lawru01,565000,1358998.281,95,2551,226,7,3,3,CHA,AL,125,390,62,101,21,6,4,36,29,6,27,40,0,3,6,1,4
64,1985,pacioto01,333333,801768.0954,48,1216,152,9,1,6,CHA,AL,46,122,14,30,2,0,0,9,2,0,8,22,0,1,0,2,3
65,1985,pacioto01,333333,801768.0954,48,1216,152,9,1,6,NYN,NL,46,116,14,33,3,1,1,11,1,0,6,14,1,1,1,0,2
66,1985,salazlu01,325000,781724.6747,86,2339,180,57,10,13,CHA,AL,122,327,39,80,18,2,10,45,14,4,12,60,2,0,9,5,5
67,1985,walkegr01,195000,469034.8048,146,3934,1217,97,8,116,CHA,AL,163,601,77,155,38,4,24,92,5,2,44,100,6,2,0,3,16
68,1985,bosleth01,215000,517140.9387,30,861,84,0,1,0,CHN,NL,108,180,25,59,6,3,7,27,5,1,20,29,1,0,0,2,3
69,1985,ceyro01,1450000,3487694.703,138,3556,75,273,21,21,CHN,NL,145,500,64,116,18,2,22,63,1,1,58,106,9,4,0,2,10
70,1985,davisjo02,550000,1322918.68,129,3372,694,84,8,7,CHN,NL,142,482,47,112,30,0,17,58,1,0,48,83,5,0,2,4,14
71,1985,dernibo01,406250,977155.8434,112,2937,310,4,9,1,CHN,NL,121,469,63,119,20,3,1,21,31,8,40,44,1,3,7,2,7
72,1985,durhale01,800000,1924245.353,144,3817,1421,107,7,121,CHN,NL,153,542,58,153,32,2,21,75,7,6,64,99,24,0,0,1,5
73,1985,hebneri01,310000,745645.0743,16,443,110,24,4,15,CHN,NL,83,120,10,26,2,0,3,22,0,1,7,15,1,1,0,0,2
74,1985,lopesda01,490000,1178600.279,67,1798,115,6,1,1,CHN,NL,99,275,52,78,11,0,11,44,47,4,46,37,1,0,1,3,14
75,1985,matthga01,600000,1443184.015,85,1950,119,7,3,2,CHN,NL,97,298,45,70,12,0,13,40,2,0,59,64,2,2,0,3,8
76,1985,morelke01,865000,2080590.288,157,4097,313,29,13,7,CHN,NL,161,587,74,180,30,3,14,106,12,3,68,58,7,1,2,9,14
77,1985,sandbry01,505000,1214679.879,152,4006,353,501,12,99,CHN,NL,153,609,113,186,31,6,26,83,54,11,57,97,5,1,2,4,10
78,1985,speiech01,225000,541194.0056,46,1526,87,177,11,43,CHN,NL,106,218,16,53,11,0,4,24,1,3,17,34,0,0,3,2,7
79,1985,woodsga01,321667,773707.7875,9,542,42,1,0,0,CHN,NL,81,82,11,20,3,0,0,4,0,1,14,18,0,0,1,0,2
80,1985,bellbu01,751297,1807099.701,149,3889,124,297,25,35,TEX,AL,84,313,33,74,13,3,4,32,3,2,33,21,1,1,0,4,14
81,1985,bellbu01,751297,1807099.701,149,3889,124,297,25,35,CIN,NL,67,247,28,54,15,2,6,36,0,1,34,27,2,0,1,2,10
82,1985,conceda01,920000,2212882.156,146,3933,214,405,24,64,CIN,NL,155,560,59,141,19,2,7,48,16,12,50,67,3,3,3,4,23
83,1985,foleyto02,117500,282623.5362,66,1743,127,202,7,47,CIN,NL,43,92,7,18,5,1,0,6,1,0,6,16,1,0,0,0,0
84,1985,foleyto02,117500,282623.5362,66,1743,127,202,7,47,PHI,NL,46,158,17,42,8,0,3,17,1,3,13,18,7,0,0,0,2
85,1985,krencwa01,250000,601326.6729,42,1128,35,87,4,9,CIN,NL,90,173,16,47,9,0,4,25,0,0,28,20,4,0,2,2,3
86,1985,milneed01,300000,721592.0074,108,3006,340,12,6,3,CIN,NL,145,453,82,115,19,7,3,33,35,13,61,31,3,1,2,3,3
87,1985,oestero01,550000,1322918.68,148,3964,366,457,9,100,CIN,NL,152,526,59,155,26,3,1,34,5,0,51,65,17,0,2,5,13
88,1985,parkeda01,970000,2333147.491,158,4213,329,12,10,1,CIN,NL,160,635,88,198,42,4,34,125,5,13,52,80,24,3,0,4,26
89,1985,perezto01,225000,541194.0056,45,1108,340,22,2,34,CIN,NL,72,183,25,60,8,0,6,33,0,2,22,22,1,0,0,2,2
90,1985,redusga01,227500,547207.2723,59,1662,140,3,2,0,CIN,NL,101,246,51,62,14,4,6,28,48,12,44,52,2,1,2,1,0
91,1985,rosepe01,358858,863163.5487,110,2815,870,73,5,80,CIN,NL,119,405,60,107,12,2,2,46,8,1,86,35,5,4,1,4,10
92,1985,vangoda01,60000,144318.4015,43,1224,255,11,3,2,CIN,NL,73,151,12,36,7,0,2,24,0,0,9,19,2,1,2,3,6
93,1985,venabma01,155000,372822.5372,26,714,60,3,0,0,CIN,NL,77,135,21,39,12,3,0,10,11,3,6,17,0,0,3,2,2
94,1985,ayalabe01,303333,729608.8946,19,294,21,1,2,0,CLE,AL,46,76,10,19,7,0,2,15,0,0,4,17,1,0,0,1,2
95,1985,bandoch01,225000,541194.0056,57,1460,251,28,4,3,CLE,AL,73,173,11,24,4,1,0,13,0,1,22,21,0,0,2,2,6
96,1985,bernato01,400000,962122.6766,141,3619,313,399,16,87,CLE,AL,153,500,73,137,26,3,11,59,17,9,69,72,2,1,5,4,11
97,1985,butlebr01,425000,1022255.344,148,3799,437,19,1,5,CLE,AL,152,591,106,184,28,14,5,50,47,20,63,42,2,1,8,3,8
98,1985,cartejo01,110000,264583.7361,120,3249,311,17,6,4,CLE,AL,143,489,64,128,27,0,15,59,24,6,25,74,2,2,3,4,9
99,1985,fischmi01,190000,457008.2714,18,666,73,89,4,20,CLE,AL,73,60,12,12,4,1,0,2,0,1,5,7,0,0,4,0,0
100,1985,francju01,455000,1094414.545,157,4071,252,437,36,99,CLE,AL,160,636,97,183,33,4,6,90,13,9,54,74,2,4,0,9,26
101,1985,hallme01,210000,505114.4052,13,336,18,0,0,0,CLE,AL,23,66,7,21,6,0,0,12,0,1,8,12,0,0,0,1,2
102,1985,hargrmi01,458333,1102431.432,70,1896,599,66,6,66,CLE,AL,107,284,31,81,14,1,1,27,1,0,39,29,2,0,2,1,8
103,1985,jacobbr01,140000,336742.9368,158,4185,114,319,19,26,CLE,AL,161,606,72,166,26,3,20,87,2,3,48,120,3,0,1,7,17
104,1985,tablepa01,285000,685512.4071,87,2261,744,77,14,78,CLE,AL,117,404,47,111,18,3,5,59,0,6,27,55,2,2,2,3,15
105,1985,vukovge01,375000,901990.0093,108,2974,250,4,3,0,CLE,AL,149,434,43,106,22,0,8,45,2,2,30,75,6,1,1,4,9
106,1985,bergmda01,262500,631393.0065,33,924,306,25,3,25,DET,AL,69,140,8,25,2,0,3,7,0,0,14,15,0,0,1,2,6
107,1985,brookto01,250000,601326.6729,137,3718,135,277,24,28,DET,AL,156,485,54,115,34,6,7,47,14,5,27,78,0,0,9,1,8
108,1985,castima02,76000,182803.3086,24,788,123,31,4,2,DET,AL,57,84,4,10,2,0,2,5,0,2,2,19,0,0,0,1,1
109,1985,evansda01,1083333,2605748.114,105,2843,831,125,20,81,DET,AL,151,505,81,125,17,0,40,94,0,4,85,85,12,1,1,2,5
110,1985,gibsoki01,685000,1647635.084,143,3765,286,1,11,0,DET,AL,154,581,96,167,37,5,29,97,30,4,71,137,16,5,3,10,5
111,1985,grubbjo01,250000,601326.6729,14,303,23,0,0,0,DET,AL,78,155,19,38,7,1,5,25,0,1,24,25,0,1,0,4,5
112,1985,herndla01,675000,1623582.017,110,3228,273,7,7,4,DET,AL,137,442,45,108,12,7,12,37,2,1,33,79,1,1,1,1,9
113,1985,lemonch01,670000,1611555.483,143,3817,411,6,4,3,DET,AL,145,517,69,137,28,4,18,68,0,2,45,93,3,10,0,3,5
114,1985,parrila02,766667,1844069.265,117,3120,695,53,5,9,DET,AL,140,549,64,150,27,1,28,98,2,6,41,90,5,2,3,5,10
115,1985,trammal01,517143,1243887.518,149,3980,225,400,15,89,DET,AL,149,605,79,156,21,7,13,57,14,5,50,71,4,2,11,9,6
116,1985,whitalo01,670000,1611555.483,146,3923,314,414,11,101,DET,AL,152,609,102,170,29,8,21,73,6,4,80,56,9,2,5,5,3
117,1985,ashbyal01,416667,1002211.923,55,1414,312,37,8,1,HOU,NL,65,189,20,53,8,0,8,25,0,0,24,27,2,1,1,1,9
118,1985,basske01,155000,372822.5372,130,3567,328,10,1,1,HOU,NL,150,539,72,145,27,5,16,68,19,8,31,63,1,6,4,2,10
119,1985,cabelen01,291667,701548.5868,73,2034,456,97,11,41,HOU,NL,60,143,20,35,8,1,2,14,3,1,16,15,0,0,0,0,5
120,1985,cabelen01,291667,701548.5868,73,2034,456,97,11,41,LAN,NL,57,192,20,56,11,0,0,22,6,2,14,21,1,0,2,0,0
121,1985,cruzjo01,796383,1915545.359,137,3606,257,12,8,3,HOU,NL,141,544,69,163,34,4,9,79,16,5,43,74,10,0,0,3,11
122,1985,davisgl01,60000,144318.4015,96,2404,766,57,12,76,HOU,NL,100,350,51,95,11,0,20,64,0,0,27,68,6,7,2,4,12
123,1985,doranbi02,325000,781724.6747,145,3788,345,440,16,108,HOU,NL,148,578,84,166,31,6,14,59,23,15,71,69,6,0,3,5,10
124,1985,garneph01,745000,1791953.485,112,3110,101,229,21,24,HOU,NL,135,463,65,124,23,10,6,51,4,4,34,72,3,2,1,5,12
125,1985,morenom01,700000,1683714.684,32,915,86,3,0,1,NYA,AL,34,66,12,13,4,1,1,4,1,1,1,16,0,0,1,0,1
126,1985,morenom01,700000,1683714.684,32,915,86,3,0,1,KCA,AL,24,70,9,17,1,3,2,12,0,1,3,8,0,1,0,1,1
127,1985,puhlte01,541667,1302875.26,52,1279,92,3,0,1,HOU,NL,57,194,34,55,14,3,2,23,6,2,18,23,4,1,4,3,0
128,1985,reynocr01,350000,841857.342,89,2465,159,319,11,65,HOU,NL,107,379,43,103,18,8,4,32,4,4,12,30,2,0,3,2,4
129,1985,spilmha01,160000,384849.0706,14,344,134,4,0,15,HOU,NL,44,66,3,9,1,0,1,4,0,0,3,7,0,0,0,0,2
130,1985,thondi01,675000,1623582.017,68,1818,106,218,11,48,HOU,NL,84,251,26,63,6,1,6,29,8,3,18,50,4,0,1,2,2
131,1985,wallide01,341667,821813.9213,82,2254,326,124,12,31,HOU,NL,119,345,44,93,20,1,7,45,5,2,25,26,2,0,0,4,8
132,1985,balbost01,205000,493087.8717,159,4284,1573,101,12,138,KCA,AL,160,600,74,146,28,2,36,88,1,1,52,166,4,5,0,5,14
133,1985,brettge01,1000000,2405306.691,152,4019,107,339,15,33,KCA,AL,155,550,108,184,38,5,30,112,9,1,103,49,31,3,0,9,12
134,1985,conceon01,250000,601326.6729,109,2867,127,370,21,63,KCA,AL,131,314,32,64,5,1,2,20,4,4,16,29,0,6,12,1,8
135,1985,jonesly01,202500,487074.605,28,1317,115,2,2,1,KCA,AL,110,152,12,32,7,0,0,9,0,1,8,15,0,3,4,2,6
136,1985,motleda01,155500,374025.1905,93,2616,198,4,7,1,KCA,AL,123,383,45,85,20,1,17,49,6,4,18,57,2,2,0,5,17
137,1985,pryorgr01,316667,761681.2541,28,897,47,87,5,16,KCA,AL,63,114,8,25,3,0,1,3,0,1,8,12,0,0,3,0,6
138,1985,sheripa01,175000,420928.671,53,1495,116,3,2,0,KCA,AL,78,206,18,47,9,2,3,17,11,3,23,38,2,1,3,1,4
139,1985,sundbji01,608333,1463227.436,107,2881,572,41,5,10,KCA,AL,115,367,38,90,12,4,10,35,0,2,33,67,3,1,4,2,9
140,1985,wathajo01,425000,1022255.344,41,1157,259,29,4,6,KCA,AL,60,145,11,34,8,1,1,9,1,1,17,15,0,1,2,0,4
141,1985,wilsowi02,843750,2029477.521,140,3734,378,4,2,1,KCA,AL,141,605,87,168,25,21,4,43,43,11,29,94,3,5,2,1,6
142,1985,bailobo01,330000,793751.2082,26,927,35,103,3,12,LAN,NL,74,118,8,29,3,1,0,7,1,0,3,5,0,1,8,0,3
143,1985,brockgr01,150000,360796.0037,117,3087,1113,84,7,86,LAN,NL,129,438,64,110,19,0,21,66,4,2,54,72,4,0,2,2,9
144,1985,duncama01,60000,144318.4015,136,3663,224,430,30,64,LAN,NL,142,562,74,137,24,6,6,39,38,8,38,113,4,3,13,4,9
145,1985,guerrpe01,1270000,3054739.498,134,3503,251,123,13,18,LAN,NL,137,487,99,156,22,2,33,87,12,4,83,68,14,6,0,5,13
146,1985,landrke01,537500,1292852.347,115,3140,267,4,7,1,LAN,NL,147,482,70,129,26,2,12,50,15,5,33,37,2,1,3,8,9
147,1985,maldoca01,140000,336742.9368,47,1550,121,6,2,0,LAN,NL,121,213,20,48,7,1,5,19,1,1,19,40,4,0,2,1,3
148,1985,marshmi02,333000,800967.1283,132,3494,265,12,4,9,LAN,NL,135,518,72,152,27,2,28,95,3,10,37,137,6,3,2,4,8
149,1985,oliveal01,750000,1803980.019,17,378,16,2,2,0,LAN,NL,35,79,1,20,5,0,0,8,1,0,5,11,0,0,0,1,3
150,1985,oliveal01,750000,1803980.019,17,378,16,2,2,0,TOR,AL,61,187,20,47,6,1,5,23,0,0,7,13,2,1,0,0,8
151,1985,russebi01,450000,1082388.011,39,1089,60,82,10,11,LAN,NL,76,169,19,44,6,1,0,13,4,0,18,9,1,1,3,1,2
152,1985,saxst01,465000,1118467.612,132,3517,330,358,22,84,LAN,NL,136,488,62,136,8,4,1,42,27,11,54,43,12,3,3,3,15
153,1985,sciosmi01,435000,1046308.411,131,3453,818,66,13,8,LAN,NL,141,429,47,127,26,3,7,53,3,3,77,21,9,5,11,3,10
154,1985,whitfte01,316667,761681.2541,17,403,23,2,2,0,LAN,NL,79,104,8,27,7,0,3,16,0,0,6,27,1,0,0,0,2
155,1985,yeagest01,500000,1202653.346,31,906,212,28,2,2,LAN,NL,53,121,4,25,4,1,0,9,0,1,7,24,2,0,1,2,3
156,1985,brunato01,425000,1022255.344,152,3991,300,14,5,2,MIN,AL,157,567,71,137,28,4,27,90,5,3,71,86,7,0,0,13,12
157,1985,bushra01,120000,288636.803,33,866,79,0,2,1,MIN,AL,97,234,26,56,13,3,10,35,3,0,24,30,1,5,0,2,3
158,1985,engleda01,215000,517140.9387,14,350,66,4,1,1,MIN,AL,70,172,28,44,8,2,7,25,2,2,21,28,1,0,0,2,3
159,1985,gaettga01,415000,998202.277,148,3934,162,316,18,31,MIN,AL,160,560,71,138,31,0,20,63,13,5,37,89,3,7,3,1,15
160,1985,hatchmi01,293750,706558.8406,97,2426,246,7,3,4,MIN,AL,116,444,46,125,28,0,3,49,0,0,16,23,1,2,3,2,15
161,1985,hrbekke01,560000,1346971.747,147,3925,1339,114,8,114,MIN,AL,158,593,78,165,31,2,21,93,1,1,67,87,12,2,0,4,12
162,1985,laudnti01,145000,348769.4703,53,1344,236,19,8,3,MIN,AL,72,164,16,39,5,0,7,19,0,1,12,45,0,1,4,1,2
163,1985,puckeki01,130000,312689.8699,160,4213,465,19,8,5,MIN,AL,161,691,80,199,29,13,4,74,21,12,41,87,0,4,5,3,9
164,1985,salasma01,60000,144318.4015,95,2573,529,39,5,10,MIN,AL,120,360,51,108,20,5,9,41,0,1,18,37,5,1,0,3,7
165,1985,smallro02,728571,1752436.701,53,1351,70,133,3,18,MIN,AL,129,388,57,100,20,0,12,45,0,2,60,65,3,1,1,2,8
166,1985,teufeti01,110000,264583.7361,127,3321,237,352,12,67,MIN,AL,138,434,58,113,24,3,10,50,4,2,48,70,2,3,7,4,14
167,1985,coopece01,1176190,2829097.677,123,3261,1087,94,17,101,ML4,AL,154,631,82,185,39,8,16,99,10,3,30,77,3,2,1,10,24
168,1985,gantnji01,687500,1653648.35,139,3768,278,436,11,94,ML4,AL,143,523,63,133,15,4,5,44,11,8,33,42,7,3,10,4,13
169,1985,housepa02,215000,517140.9387,77,2146,202,5,3,0,ML4,AL,95,299,41,77,15,0,11,34,1,2,27,60,0,1,1,1,5
170,1985,manniri01,510000,1226706.413,56,1576,160,2,4,0,ML4,AL,79,216,19,47,9,1,2,18,1,0,14,19,0,0,1,0,2
171,1985,molitpa01,950000,2285041.357,133,3504,126,263,19,30,ML4,AL,140,576,93,171,28,3,10,48,21,7,54,80,6,1,7,4,12
172,1985,moorech02,365000,877936.9424,98,2599,511,54,13,7,ML4,AL,105,349,35,81,13,4,0,31,4,0,27,53,0,1,8,1,12
173,1985,oglivbe01,560000,1346971.747,87,2324,190,4,7,0,ML4,AL,101,341,40,99,17,2,10,61,0,2,37,51,3,2,4,10,8
174,1985,romered01,290000,697538.9405,78,2114,157,219,8,53,ML4,AL,88,251,24,63,11,1,0,21,1,1,26,20,0,0,5,0,3
175,1985,schrobi01,100000,240530.6691,47,1250,216,23,3,5,ML4,AL,53,194,18,47,8,0,8,25,0,1,12,61,1,2,0,2,5
176,1985,simmote01,1000000,2405306.691,40,1070,291,26,3,23,ML4,AL,143,528,60,144,28,2,12,76,1,1,57,32,9,1,1,5,17
177,1985,yountro01,1000000,2405306.691,109,2833,267,5,8,2,ML4,AL,122,466,76,129,26,3,15,68,10,4,49,56,3,2,1,9,8
178,1985,brookhu01,550000,1322918.68,153,4125,203,441,28,81,MON,NL,156,605,67,163,34,7,13,100,6,9,34,79,6,5,0,8,20
179,1985,dawsoan01,1033333,2485482.779,129,3363,248,9,7,1,MON,NL,139,529,65,135,27,2,23,91,13,4,29,92,8,4,1,7,12
180,1985,dilonmi01,175000,420928.671,24,683,57,2,3,0,MON,NL,51,84,10,16,0,2,0,6,7,3,6,11,0,0,0,1,4
181,1985,dilonmi01,175000,420928.671,24,683,57,2,3,0,SDN,NL,27,46,8,10,0,1,0,1,10,3,4,8,0,0,0,0,0
182,1985,flynndo01,350000,841857.342,15,502,42,46,1,17,MON,NL,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
183,1985,flynndo01,350000,841857.342,15,502,42,46,1,17,DET,AL,32,51,2,13,2,1,0,2,0,0,0,3,0,0,3,1,1
184,1985,francte01,250000,601326.6729,61,1714,431,40,6,32,MON,NL,107,281,19,75,15,1,2,31,5,5,12,12,4,1,2,0,1
185,1985,lawva01,375000,901990.0093,141,3751,420,402,12,98,MON,NL,147,519,75,138,30,6,10,52,6,5,86,96,0,2,8,6,11
186,1985,nicosst01,105000,252557.2026,19,537,109,7,1,2,MON,NL,42,71,4,12,2,0,0,1,1,0,7,11,0,0,1,0,2
