_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight
ackeral01,21-Jan-83,"Compton, California",0.5,37,32,50,30,8.5,2.7,1,-0.2,41.3,Pepperdine University,60th overall,2nd round,Detroit Pistons,2005,5-Jun,"Eisenhower in Rialto, California",Alex Acker,Shooting Guard,Right,185lb
ackerdo01,4-Sep-30,"New York, New York",0.8,22.2,,53.6,28,1,1.5,0.5,-0.6,,Long Island University,1953 NBA Draft,2nd roun,New York Knicks,,Jun-00,"Metropolitan in New York, New York",Don Ackerman,Point Guard,Right,183lb
acresma01,15-Nov-62,"Inglewood, California",0.5,50.6,53.8,66.5,375,9,3.6,4.1,9.3,50.9,Oral Roberts University,40th overall,2nd round,Dallas Mavericks,1985,11-Jun,"Palos Verdes in Palos Verdes Estates, California",Mark Acres,Center,Right,220lb
actonbu01,11-Jan-42,,0.5,39.2,,65.5,23,9.5,3.3,2,0.1,,Hillsdale College,,,,,6-Jun,"Troy in Troy, Michigan",Bud Acton,Small Forward,Right,210lb
acyqu01,6-Oct-90,"Tyler, Texas",0.6,44.4,35,75.9,337,11.2,4.9,3.5,8.7,51.3,Baylor University,37th overall,2nd round,Toronto Raptors,2012,7-Jun,"Mesquite Horn in Mesquite, Texas",Quincy Acy,Power Forward and Small Forward,Right,240lb
adamsal01,19-Jul-54,"Lawrence, Kansas",4.1,49.8,13.3,78.8,988,18.3,14.1,7,73.5,49.8,University of Oklahoma,4th overall,1st round,Phoenix Suns,1975,9-Jun,"Putnam City in Warr Acres, Oklahoma",Alvan Adams,Center and Power Forward,Right,210lb
adamsdo01,27-Nov-47,"Atlanta, Georgia",1.9,40.2,0,74.1,523,10.7,8.8,5.6,11.7,40.2,Northwestern University,120th overall,8th round,San Diego Rockets,1970,6-Jun,"South Fulton in South Fulton, Georgia",Don Adams,Small Forward,Right,210lb
adamsge01,15-May-49,"Kings Mountain, North Carolina",1.5,49.7,23.5,79.4,215,14,7.7,4.1,6.6,49.9,Gardner-Webb University,46th overall,3rd round,Milwaukee Bucks,1972,5-Jun,,George Adams,Small Forward,Right,210lb
adamsha01,20-Jun-84,"Inglewood, California",0.2,53.4,0,64.3,73,11.8,2.5,1.2,0.8,53.4,University of Arizona,54th overall,2nd round,New Jersey Nets,2006,4-Jun,"Westchester in Los Angeles, California",Hassan Adams,Shooting Guard,Right,220lb
adamsja01,4-May-96,"Baltimore, Maryland",1.9,34.5,33.8,77.8,34,7.6,3.2,1.8,0.1,45.9,St. Bonaventure University,,,,,2-Jun,"Mount St. Joseph in Baltimore, Maryland",Jaylen Adams,Point Guard,Right,190lb
adamsjo01,8-Jul-94,"Atlanta, Georgia",0.6,40.2,38.5,60.7,32,13.1,3.2,0.9,0.4,45.7,"University of California, Los Angeles",22nd overall,1st round,Memphis Grizzlies,2014,5-Jun,"Oak Hill Academy in Mouth of Wilson, Virginia",Jordan Adams,Shooting Guard,Right,209lb
adamsmi01,19-Jan-63,"Hartford, Connecticut",6.4,41.5,33.2,84.9,653,16.6,14.7,2.9,46.9,47.5,Boston College,66th overall,3rd round,Sacramento Kings,1985,10-May,"Hartford Public in Hartford, Connecticut",Michael Adams,Point Guard,Right,162lb
adamsst01,20-Jul-93,"Rotorua, New Zealand",1,58.8,0,55.3,467,16.7,9.7,7.4,38.7,58.8,University of Pittsburgh,12th overall,1st round,Oklahoma City Thunder,2013,Jul-00,"Notre Dame Preparatory School in Fitchburg, Massachusetts",Steven Adams,Center,Right,265lb
addisra01,22-Jul-64,"Jersey City, New Jersey",0.9,44.9,28.2,77.2,379,10.5,5.8,2.1,4.9,46.6,Syracuse University,39th overall,2nd round,Phoenix Suns,1986,7-Jun,"Snyder in Jersey City, New Jersey",Rafael Addison,Small Forward,Right,215lb
adebaba01,18-Jul-97,"Newark, New Jersey",1.9,55,13.6,72.8,151,17,8,6.5,11,55.1,University of Kentucky,14th overall,1st round,Miami Heat,2017,10-Jun,"High Point Christian Academy in High Point, North Carolina",Bam Adebayo,Center,Right,255lb
adelde01,1-Feb-97,"Juba, South Sudan",0.3,30.6,26.1,100,19,2.7,1.7,1,-0.2,38.9,University of Louisville,,,,,7-Jun,"Victoria Rock Prep HS in Bradenton, Florida",Deng Adel,Small Forward,Right,200lb
adelmri01,16-Jun-46,"Lynwood, California",3.5,41.5,,71.3,462,11.3,7.7,2.4,10,,Loyola Marymount University,79th overall,7th round,San Diego Rockets,1968,1-Jun,"Saint Pius X in Downey, California",Rick Adelman,Point Guard,Right,175lb
adrieje01,10-Feb-86,"Brookline, Massachusetts",0.7,47.4,0,62.8,153,15,4.6,4.3,4.4,47.4,University of Connecticut,,,,,7-Jun,"Brewster Academy in Wolfeboro, New Hampshire",Jeff Adrien,Power Forward,Right,245lb
afflaar01,15-Oct-85,"Los Angeles, California",1.8,45,38.6,82.5,762,11.9,10.8,2.9,33.5,51.4,"University of California, Los Angeles",27th overall,1st round,Detroit Pistons,2007,5-Jun,"Centennial in Compton, California",Arron Afflalo,Shooting Guard and Small Forward,Right,210lb
agerma01,9-Feb-84,"Detroit, Michigan",0.2,33.9,25,56.6,82,2.8,2.1,0.6,-0.9,36.8,Michigan State University,28th overall,1st round,Dallas Mavericks,2006,5-Jun,"Crocket in Detroit, Michigan",Maurice Ager,Shooting Guard,Right,202lb
aguirma01,10-Dec-59,"Chicago, Illinois",3.1,48.4,31.2,74.1,923,19,20,5,67.8,49.8,DePaul University,1st overall,1st round,Dallas Mavericks,1981,6-Jun,"George Westinghouse in Chicago, Illinois",Mark Aguirre,Small Forward,Right,232lb
ahearbl01,27-May-84,"St. Louis, Missouri",1.2,27.3,29.8,97,19,7.2,4.6,1.2,-0.2,36.4,Missouri State University,,,,,2-Jun,"De Smet Jesuit in Creve Coeur, Missouri",Blake Ahearn,Point Guard,Right,190lb
aingeda01,17-Mar-59,"Eugene, Oregon",4,46.9,37.8,84.6,1042,14.7,11.5,2.7,71.5,51.9,Brigham Young University,31st overall,2nd round,Boston Celtics,1981,4-Jun,"Eugene in North Eugene, Oregon",Danny Ainge,Shooting Guard and Point Guard,Right,175lb
aitchma01,21-Sep-44,"St. Louis, Missouri",0.4,40.5,0,67.5,45,11.9,5.6,3.6,0.5,40.5,Michigan State University,135th overall,13th round,Detroit Pistons,1967,7-Jun,"Maplewood-Richmond Heights in Maplewood, Missouri",Matthew Aitch,Power Forward,Right,230lb
ajincal01,6-May-88,"Saint-Etienne, France",0.5,50.3,28.6,79.7,293,14.9,5.3,3.9,7.5,50.7,,20th overall,1st round,Charlotte Bobcats,2008,2-Jul,,Alexis Ajinca,Power Forward and Center,Right,248lb
akinhe01,31-Jul-44,"Detroit, Michigan",0.5,35,0,67.6,88,7.4,3.5,2.1,-1.2,35,Morehead State University,11th overall,2nd round,New York Knicks,1966,10-Jun,,Henry Akin,Center and Power Forward,Right,225lb
akognjo01,10-Feb-86,"Greenbrae, California",0.3,50,50,-,3,15.3,1.7,0.3,0,62.5,"Washington State University, California State University, Fullerton",,,,,11-May,"Casa Grande in Petaluma, California",Josh Akognon,Point Guard,Right,185lb
akoonde01,5-Jun-93,"Orlando, Florida",0.9,30,0,50,7,8.2,1,0.6,0,30,Illinois State University,,,,,6-Jun,"West Oaks Academy in Orlando, Florida",DeVaughn Akoon-Purcell,Shooting Guard,Right,200lb
alabiso01,21-Mar-88,"Kaduna, Nigeria",0.2,31.4,-,70,26,10.3,1.5,2.3,0,31.4,Florida State University,50th overall,2nd round,Dallas Mavericks,2010,1-Jul,"Montverde Academy in Montverde, Florida",Solomon Alabi,Center,Right,251lb
alarima01,11-Dec-63,"Phoenix, Arizona",1.1,47.5,25.2,77.5,325,13,7.5,3.4,8.4,48.3,Duke University,18th overall,1st round,Denver Nuggets,1986,8-Jun,"Brophy College Preparatory in Phoenix, Arizona",Mark Alarie,Power Forward,Right,217lb
alcorga01,8-Oct-36,,0.3,29.3,,59.8,78,6.5,3.3,4.2,-1.3,,"California State University, Fresno",16th overall,3rd round,Detroit Pistons,1959,9-Jun,,Gary Alcorn,Center,Right,225lb
aldemfu01,9-Aug-91,"Konak, Turkey",0.7,51.3,0,48.1,41,12,2.3,4.3,1.4,51.3,,53rd overall,2nd round,Los Angeles Clippers,2012,10-Jun,,Furkan Aldemir,Power Forward,Right,240lb
aldrico01,31-Oct-88,"Burnsville, Minnesota",0.5,52.7,-,73.8,339,16.6,3.1,3.3,9.6,52.7,University of Kansas,11th overall,1st round,New Orleans Hornets,2010,11-Jun,"Thomas Jefferson in Bloomington, Minnesota",Cole Aldrich,Center,Right,250lb
aldrila01,19-Jul-85,"Dallas, Texas",2,49.1,28.3,81,950,20.9,19.6,8.4,107,49.5,University of Texas at Austin,2nd overall,1st round,Chicago Bulls,2006,11-Jun,"Seagoville in Seagoville, Texas",LaMarcus Aldridge,Power Forward and Center,Right,260lb
aleksch01,26-Feb-59,"Litchfield, Connecticut",0.5,47.8,0,73.3,74,9.1,5.1,3.6,0.4,47.8,"University of Kentucky, University of Connecticut",76th overall,4th round,Chicago Bulls,1982,11-Jun,"Wamogo in Litchfield, Connecticut",Chuck Aleksinas,Center,Right,260lb
alexacl01,16-Nov-95,"Chicago, Illinois",0,50,-,-,8,11.6,1.3,0.8,0,50,University of Kansas,,,,,8-Jun,"Curie in Chicago, Illinois",Cliff Alexander,Power Forward,Right,245lb
alexaco01,22-Jun-73,"Waynesboro, Virginia",2.7,38.9,35.4,75.6,307,12.4,5.5,1.6,3,46.8,University of Virginia,29th overall,1st round,San Antonio Spurs,1995,1-Jun,"Oak Hill Academy in Mouth of Wilson, Virginia",Cory Alexander,Shooting Guard and Point Guard,Right,185lb
alexaco02,27-Apr-77,"Bridgeport, Connecticut",1.2,42.2,33.9,81.3,187,11.5,9,2.2,4.1,43.5,"University of Virginia, California State University, Fresno",13th overall,1st round,Orlando Magic,2000,5-Jun,"Jordan in Durham, North Carolina",Courtney Alexander,Point Guard and Shooting Guard,Right,205lb
alexaga01,1-Nov-69,"Jacksonville, Florida",0.2,57.1,-,33.3,11,8.6,1.7,1.4,0,57.1,University of South Florida,,,,,7-Jun,"William M. Raines in Jacksonville, Florida",Gary Alexander,Power Forward,Right,240lb
alexajo01,26-Dec-86,"Kaohsiung, Taiwan",0.7,41,34,69.8,67,9.9,4.2,1.8,0.5,44.2,West Virginia University,8th overall,1st round,Milwaukee Bucks,2008,8-Jun,"Hargrave Military Academy in Chatham, Virginia",Joe Alexander,Small Forward,Right,230lb
alexavi01,31-Aug-69,"Detroit, Michigan",0.9,51.8,28.6,63.4,286,13.7,8.9,4.8,8.8,52.2,Iowa State University,17th overall,1st round,Golden State Warriors,1991,9-Jun,"Denby in Detroit, Michigan",Victor Alexander,Center,Right,265lb
alforst01,23-Nov-64,"Franklin, Indiana",1,45.9,32.4,87,169,14.4,4.4,0.9,3.2,48.7,Indiana University,26th overall,2nd round,Dallas Mavericks,1987,2-Jun,"Chrysler in New Castle, Indiana",Steve Alford,Point Guard,Right,183lb
alkinra01,29-Oct-97,"Brooklyn, New York",1.3,33.3,25,66.7,10,8.1,3.7,2.6,-0.1,37.2,University of Arizona,,,,,5-Jun,"Word of God Academy in Raleigh, North Carolina",Rawle Alkins,Shooting Guard,Right,225lb
allenbi01,,,0.6,42.9,100,58.6,38,11.9,7.9,7.1,0.6,43.2,New Mexico State University,,,,,8-Jun,,Bill Allen,Center,Right,205lb
allenbo01,17-Jul-46,,0.4,32.6,,55.6,27,6.8,1.8,2.1,0.1,,Marshall University,71st overall,6th round,San Francisco Warriors,1968,9-Jun,,Bob Allen,Power Forward,Right,205lb
allengr01,8-Oct-95,"Jacksonville, Florida",0.7,37.6,32.3,75,38,7.5,5.6,0.6,0,46.6,Duke University,21st overall,1st round,Utah Jazz,2018,5-Jun,"Providence School in Jacksonville, Florida",Grayson Allen,Shooting Guard,Right,198lb
allenja01,21-Apr-98,"Austin, Texas",1,59,18.3,73.2,152,18.1,9.6,7,11.9,59.5,University of Texas at Austin,22nd overall,1st round,Brooklyn Nets,2017,11-Jun,"St. Stephen's Episcopal School in Austin, Texas",Jarrett Allen,Center,Right,237lb
allenje01,28-Jan-73,"Philadelphia, Pennsylvania",1.7,35,31.7,63,117,8.5,2.9,1.1,0.2,41.1,University of Pennsylvania,49th overall,2nd round,Minnesota Timberwolves,1995,4-Jun,"Episcopal Academy in Merion Station, Pennsylvania",Jerome Allen,Shooting Guard,Right,184lb
allenka01,15-Jan-93,"Wilmington, North Carolina",2.4,43.6,36.2,77.8,37,13.4,5.6,1.7,0.9,48.8,University of Arizona,53rd overall,2nd round,Boston Celtics,2017,3-Jun,"New Hanover in Wilmington, North Carolina",Kadeem Allen,Shooting Guard and Point Guard,Right,192lb
allenla01,4-Feb-89,"Morrisville, Pennsylvania",1,47.1,13.3,68.2,388,12.5,4.8,4.8,13.8,47.2,Temple University,50th overall,2nd round,Philadelphia 76ers,2011,9-Jun,"Pennsbury in Fairless Hills, Pennsylvania",Lavoy Allen,Power Forward and Center,Right,260lb
allenlu01,26-Sep-47,"Kansas City, Kansas",4.5,46.3,,76,702,15.5,13.4,3.1,42,,"University of California, Los Angeles",3rd overall,1st round,Seattle SuperSonics,1969,2-Jun,"Wyandotte in Kansas City, Kansas",Lucius Allen,Point Guard,Right,175lb
allenma01,27-Jun-78,"Willingboro, New Jersey",0.5,43.9,18.8,77.8,478,9.9,4.9,2.8,6.6,44,Villanova University,,,,,10-Jun,"Shawnee in Medford, New Jersey",Malik Allen,Power Forward,Right,255lb
allenra01,26-Jan-65,"Milton, Florida",0.3,44.2,0,53.3,70,8.3,3.6,2.1,0.2,44.2,Florida State University,,,,,8-Jun,"Milton in Milton, Florida",Randy Allen,Shooting Guard,Right,220lb
allenra02,20-Jul-75,"Merced, California",3.4,45.2,40,89.4,1300,18.6,18.9,4.1,145.1,53,University of Connecticut,5th overall,1st round,Minnesota Timberwolves,1996,5-Jun,"Hillcrest in Dalzell, South Carolina",Ray Allen,Shooting Guard,Right,205lb
allento01,11-Jan-82,"Chicago, Illinois",1.3,47.5,28.2,70.9,820,14.2,8.1,3.5,38.7,48.7,"Butler County Community College, Oklahoma State University",25th overall,1st round,Boston Celtics,2004,4-Jun,"Crane Technical Preparatory in Chicago, Illinois",Tony Allen,Shooting Guard and Small Forward and Point Guard,Right,213lb
allenwi01,8-Feb-49,,0.6,30.8,-,83.3,7,5.7,1.9,2,0,30.8,University of Miami,60th overall,4th round,Baltimore Bullets,1971,6-Jun,"Richard Montgomery in Rockville, Maryland",Willie Allen,Power Forward,Right,230lb
allisod01,2-Oct-49,,0.3,21.8,,54.1,36,4.7,1.9,1.3,-0.6,,"University of Nevada, Las Vegas",76th overall,5th round,Golden State Warriors,1971,6-Jun,"McClymonds in Oakland, California",Odis Allison,Small Forward,Right,195lb
allrela01,2-Feb-81,"Salt Lake City, Utah",0,25,-,50,3,-1,1,0.3,0,25,"University of Utah, Weber State University",,,,,11-Jun,"East in Salt Lake City, Utah",Lance Allred,Center,Right,250lb
allumda01,12-Sep-58,"Los Angeles, California",1.1,34.3,0,59.1,22,5.3,2.7,3,-0.3,34.3,"University of California, Los Angeles",103rd overall,5th round,Dallas Mavericks,1980,9-Jun,"Lynwood in Lynwood, California",Darrell Allums,Power Forward,Right,220lb
almonmo01,2-Feb-85,"Dalton, Georgia",0.3,38.1,29.2,74.3,38,7,3.1,1.2,0,41.2,Rice University,25th overall,1st round,Utah Jazz,2007,6-Jun,"McEachern in Powder Springs, Georgia",Morris Almond,Shooting Guard,Right,225lb
alstode01,20-Aug-72,"Bronx, New York",0.7,48.9,14.3,48.7,139,11.7,5.4,3.8,2.6,49,Duquesne University,33rd overall,2nd round,Philadelphia 76ers,1994,11-Jun,"Hoboken in Hoboken, New Jersey",Derrick Alston,Center,Right,225lb
alstora01,24-Jul-76,"New York, New York",4.8,38.3,35.4,72.9,671,13.2,10.1,2.8,32.9,46.1,"California State University, Fresno",39th overall,2nd round,Milwaukee Bucks,1998,2-Jun,"Benjamin Cardozo in Bayside, New York",Rafer Alston,Point Guard,Right,171lb
alumape01,23-Apr-73,"Lagos, Nigeria",0,50,-,-,2,3.1,1,1,0,50,Liberty University,,,,,10-Jun,"Okota Grammar School in Isolo, Nigeria",Peter Aluma,Center,Right,260lb
amaecjo01,26-Nov-70,"Boston, Massachusetts",0.8,40.3,7.7,67.1,294,8.9,6.2,2.6,0.5,40.3,"Vanderbilt University, Pennsylvania State University",,,,,10-Jun,"Saint John's in Toledo, Ohio",John Amaechi,Power Forward and Center,Right,270lb
amayaas01,23-Nov-71,"Oak Park, Illinois",0.4,45.5,50,63.3,85,11.5,4.5,4.2,1.9,45.7,Southern Illinois University,,,,,8-Jun,"Walther Lutheran in Melrose Park, Illinois",Ashraf Amaya,Power Forward,Right,230lb
aminual01,21-Sep-90,"Atlanta, Georgia",1.2,42.3,33.7,74.7,670,12.4,7.7,6.1,27.4,48.2,Wake Forest University,8th overall,1st round,Los Angeles Clippers,2010,9-Jun,"Norcross in Norcross, Georgia",Al-Farouq Aminu,Power Forward and Small Forward,Right,220lb
amundlo01,7-Dec-82,"Ventura, California",0.4,47.4,0,44.4,428,12,3.7,3.6,6.9,47.4,"University of Nevada, Las Vegas",,,,,9-Jun,"Monarch in Louisville, Colorado",Lou Amundson,Power Forward,Right,220lb
anderbo01,24-Aug-37,"Monroe, Wisconsin",0.9,38.5,,54.8,33,9.3,4,2.1,0,,Michigan State University,20th overall,3rd round,New York Knicks,1959,3-Jun,"Monroe in Monroe, Wisconsin",Bob Anderegg,Small Forward,Right,200lb
anderch01,7-Jul-78,"Long Beach, California",0.5,53.2,22.1,65.4,695,16.7,5.4,5,39.7,53.5,Blinn College,,,,,10-Jun,"Iola in Iola, Texas",Chris Andersen,Power Forward and Center,Right,245lb
anderda03,23-Jun-80,"Carlton, Australia",0.6,44,34.7,67.4,103,11.7,4.9,2.8,1.5,47.8,,37th overall,2nd round,Atlanta Hawks,2002,11-Jun,,David Andersen,Power Forward and Center,Right,245lb
anderal01,16-Oct-82,"Minneapolis, Minnesota",1.1,40.5,34.4,81.6,330,10.3,7.3,2.2,7.4,48.4,Michigan State University,,,,,6-Jun,"DeLaSalle in Minneapolis, Minnesota",Alan Anderson,Shooting Guard and Small Forward,Right,220lb
anderan01,6-Jul-45,"Buffalo, New York",1.7,41,15.9,75.5,194,10.9,10.7,2.7,3.5,41.3,Canisius College,88th overall,8th round,Boston Celtics,1967,2-Jun,,Andrew Anderson,Shooting Guard and Point Guard,Right,184lb
anderan02,5-Jun-85,"Lynn, Massachusetts",0,33.3,-,-,1,-1.7,2,1,0,33.3,University of Memphis,,,,,6-Jun,"Laurinburg Institute in Laurinburg, North Carolina",Antonio Anderson,Small Forward,Right,215lb
andercl01,7-Sep-44,,0.9,35.4,-,58.5,84,10.6,3,1.3,0.3,35.4,Saint Joseph's University,35th overall,4th round,Los Angeles Lakers,1967,2-Jun,"Thomas Edison in Philadelphia, Pennsylvania",Cliff Anderson,Shooting Guard,Right,200lb
anderda01,15-Feb-43,"Minneapolis, Minnesota",1.1,48.1,-,72.7,140,17.5,12.2,9.4,10.9,48.1,Augsburg College,89th overall,12th round,Philadelphia 76ers,1965,10-Jun,,Dan Anderson,Center,Right,230lb
anderda02,1-Jan-51,,1.7,47.2,,84.6,95,12.3,3.7,1,1.6,,University of Southern California,92nd overall,6th round,Portland Trail Blazers,1974,2-Jun,"North Torrance in Torrance, California",Dan Anderson,Point Guard and Shooting Guard,Right,185lb
anderde01,18-Jul-74,"Louisville, Kentucky",3.4,40.8,34.1,85.3,615,15.3,12,3.2,43.9,46.3,"Ohio State University, University of Kentucky",13th overall,1st round,Cleveland Cavaliers,1997,5-Jun,"Doss in Louisville, Kentucky",Derek Anderson,Shooting Guard and Small Forward and Point Guard,Right,194lb
anderdw01,28-Dec-60,"Dayton, Ohio",0.6,50,-,70,5,10.6,4.2,0.4,0,50,"University of Kentucky, University of Southern California",41st overall,2nd round,Washington Bullets,1982,3-Jun,"Roth in Dayton, Ohio",Dwight Anderson,Point Guard,Right,185lb
anderer01,26-May-70,"Chicago, Illinois",0.2,34.3,100,59.3,27,13.1,1.6,1.1,0.2,37.1,Indiana University,,,,,9-Jun,"Saint Francis DeSales in Chicago, Illinois",Eric Anderson,Power Forward,Right,220lb
andergr01,22-Jun-64,"Houston, Texas",0.6,49.2,8.7,55.7,680,13,7.3,6.2,18.7,49.2,University of Houston,23rd overall,1st round,San Antonio Spurs,1987,10-Jun,"Evan E. Worthing in Houston, Texas",Greg Anderson,Center and Power Forward,Right,230lb
anderjj01,23-Sep-60,"Chicago, Illinois",0.7,46.5,0,55.8,157,12.1,4.8,2.8,2.7,46.5,Bradley University,36th overall,2nd round,Philadelphia 76ers,1982,8-Jun,"Metro in Chicago, Illinois",J.J. Anderson,Small Forward,Right,195lb
anderja01,25-Mar-89,"El Dorado, Arkansas",1.2,41.1,32.1,75.5,247,9.9,5.8,2.3,3.3,48.8,Oklahoma State University,20th overall,1st round,San Antonio Spurs,2010,6-Jun,"Junction City in Junction City, Arkansas",James Anderson,Small Forward and Shooting Guard,Right,213lb
anderje01,9-Oct-53,"Mullens, West Virginia",0.3,49,,69.4,49,11.4,2.6,0.5,0.4,,West Virginia University,53rd overall,3rd round,Boston Celtics,1975,5-Jun,"Mullens in Mullens, West Virginia",Jerome Anderson,Shooting Guard,Right,195lb
anderju01,19-Nov-93,"Montross, Virginia",0.7,41.9,30.2,77.8,216,12.9,5.3,2.6,4.7,49,University of Virginia,21st overall,1st round,Dallas Mavericks,2015,6-Jun,"Montrose Christian in Rockville, Maryland",Justin Anderson,Small Forward,Left,230lb
anderke01,9-Oct-70,"Queens, New York",6.1,42.1,34.6,79,858,16.4,12.6,3.1,62.5,44.9,Georgia Institute of Technology,2nd overall,1st round,New Jersey Nets,1991,Jun-00,"Archbishop Molloy in Jamaica, New York",Kenny Anderson,Point Guard,Left,168lb
anderki01,12-May-55,"Sedalia, Missouri",0.7,31.2,,53.6,21,3,3,2.1,-0.4,,University of Missouri,28th overall,2nd round,Portland Trail Blazers,1977,7-Jun,"Smith-Cotton in Sedali, Missouri",Kim Anderson,Small Forward,Right,200lb
anderky01,20-Sep-93,"Fairview, New Jersey",1.9,49.2,32.4,70.6,300,13.5,5.3,3.9,15.4,51.4,"University of California, Los Angeles",30th overall,1st round,San Antonio Spurs,2014,9-Jun,"St. Anthony's in Jersey City, New Jersey",Kyle Anderson,Small Forward,Right,230lb
andermi01,23-Mar-66,"Philadelphia, Pennsylvania",4.3,41.7,14.3,69.5,36,10.5,5.7,2.5,0.2,42,Drexel University,73rd overall,3rd round,Indiana Pacers,1988,11-May,"George Washington Carver High School of Engineering and Science in Philadelphia, Pennsylvania",Michael Anderson,Point Guard,Right,184lb
anderni01,20-Jan-68,"Chicago, Illinois",2.6,44.6,35.6,66.7,800,15.8,14.4,5.1,55.3,50,University of Illinois at Urbana-Champaign,11th overall,1st round,Orlando Magic,1989,6-Jun,"Simeon Vocational School in Chicago, Illinois",Nick Anderson,Shooting Guard and Small Forward,Right,205lb
anderri01,19-Nov-60,"San Pedro, California",1.5,41.2,33.3,76.2,407,12.3,5.6,3.5,7.6,44.6,"University of California, Santa Barbara",32nd overall,2nd round,San Diego Clippers,1982,10-Jun,"Rancho Alamitos in Garden Grove, California",Richard Anderson,Center and Power Forward,Right,240lb
anderro01,15-Oct-58,"Chicago, Illinois",1.4,47.1,28.7,81.4,664,14.3,10.6,3.5,24.2,47.9,"California State University, Fresno",27th overall,2nd round,Cleveland Cavaliers,1984,7-Jun,"Bowen in Chicago, Illinois",Ron Anderson,Small Forward,Right,215lb
anderry01,6-May-88,"Sacramento, California",0.9,42.2,38,85.4,647,16.5,12.4,5.3,46.7,52.3,University of California,21st overall,1st round,New Jersey Nets,2008,10-Jun,"Oak Ridge in El Dorado Hills, California",Ryan Anderson,Power Forward,Right,240lb
andersh01,31-Dec-73,"Atlanta, Georgia",1.4,45.7,31.6,73.9,719,11.7,7.4,3.1,23.6,49.2,University of Georgia,54th overall,2nd round,Utah Jazz,1996,6-Jun,"Crim in Atlanta, Georgia",Shandon Anderson,Small Forward and Shooting Guard,Right,208lb
anderwi01,8-Jan-67,"Greenville, South Carolina",3.8,47.1,26.6,78.6,555,13.8,12.2,3.8,27.9,47.9,University of Georgia,10th overall,1st round,San Antonio Spurs,1988,7-Jun,"East Atlanta in Atlanta, Georgia",Willie Anderson,Shooting Guard and Small Forward,Right,190lb
anderwa01,11-Jan-46,,0.2,39.2,,63,44,8.8,3.6,1.9,-0.2,,Creighton University,70th overall,6th round,Detroit Pistons,1968,7-Jun,"Creighton Preparatory School in Omaha, Nebraska",Wally Anderzunas,Small Forward,Right,220lb
